,iflandmark,index,name
0,2,0,/a/airfield
1,1,1,/a/airplane_cabin
2,1,2,/a/airport_terminal
3,1,3,/a/alcove
4,2,4,/a/alley
5,2,5,/a/amphitheater
6,1,6,/a/amusement_arcade
7,2,7,/a/amusement_park
8,2,8,/a/apartment_building/outdoor
9,1,9,/a/aquarium
10,2,10,/a/aqueduct
11,1,11,/a/arcade
12,2,12,/a/arch
13,1,13,/a/archaelogical_excavation
14,1,14,/a/archive
15,1,15,/a/arena/hockey
16,1,16,/a/arena/performance
17,1,17,/a/arena/rodeo
18,2,18,/a/army_base
19,1,19,/a/art_gallery
20,1,20,/a/art_school
21,1,21,/a/art_studio
22,1,22,/a/artists_loft
23,1,23,/a/assembly_line
24,2,24,/a/athletic_field/outdoor
25,1,25,/a/atrium/public
26,1,26,/a/attic
27,1,27,/a/auditorium
28,1,28,/a/auto_factory
29,1,29,/a/auto_showroom
30,2,30,/b/badlands
31,1,31,/b/bakery/shop
32,2,32,/b/balcony/exterior
33,2,33,/b/balcony/interior
34,1,34,/b/ball_pit
35,1,35,/b/ballroom
36,2,36,/b/bamboo_forest
37,1,37,/b/bank_vault
38,1,38,/b/banquet_hall
39,1,39,/b/bar
40,2,40,/b/barn
41,2,41,/b/barndoor
42,2,42,/b/baseball_field
43,1,43,/b/basement
44,1,44,/b/basketball_court/indoor
45,1,45,/b/bathroom
46,1,46,/b/bazaar/indoor
47,2,47,/b/bazaar/outdoor
48,2,48,/b/beach
49,2,49,/b/beach_house
50,1,50,/b/beauty_salon
51,1,51,/b/bedchamber
52,1,52,/b/bedroom
53,2,53,/b/beer_garden
54,1,54,/b/beer_hall
55,1,55,/b/berth
56,1,56,/b/biology_laboratory
57,2,57,/b/boardwalk
58,2,58,/b/boat_deck
59,2,59,/b/boathouse
60,1,60,/b/bookstore
61,1,61,/b/booth/indoor
62,2,62,/b/botanical_garden
63,1,63,/b/bow_window/indoor
64,1,64,/b/bowling_alley
65,1,65,/b/boxing_ring
66,2,66,/b/bridge
67,2,67,/b/building_facade
68,2,68,/b/bullring
69,1,69,/b/burial_chamber
70,1,70,/b/bus_interior
71,2,71,/b/bus_station/indoor
